AÑO,MES,TC REF,
2001,ene,7.81,
,feb,7.75,
,mar,7.7,
,abr,7.73,
,may,7.77,
,jun,7.79,
,jul,7.8,
,ago,7.84,
,sep,7.94,
,oct,8.07,
,nov,8.1,
,dic,7.97,
2002,ene,8.02,
,feb,7.94,
,mar,7.91,
,abr,7.83,
,may,7.82,
,jun,7.89,
,jul,7.87,
,ago,7.77,
,sep,7.79,
,oct,7.74,
,nov,7.63,
,dic,7.63,
2003,ene,7.78,
,feb,7.82,
,mar,7.9,
,abr,7.91,
,may,7.9,
,jun,7.92,
,jul,7.92,
,ago,7.92,
,sep,7.97,
,oct,8.08,
,nov,8.09,
,dic,8.03,
2004,ene,8.1,
,feb,8.11,
,mar,8.1,
,abr,8.06,
,may,7.99,
,jun,7.95,
,jul,7.89,
,ago,7.92,
,sep,7.9,
,oct,7.84,
,nov,7.77,
,dic,7.78,
2005,ene,7.76,
,feb,7.72,
,mar,7.62,
,abr,7.61,
,may,7.59,
,jun,7.61,
,jul,7.59,
,ago,7.59,
,sep,7.61,
,oct,7.7,
,nov,7.61,
,dic,7.61,
2006,ene,7.62,
,feb,7.61,
,mar,7.62,
,abr,7.6,
,may,7.58,
,jun,7.61,
,jul,7.59,
,ago,7.58,
,sep,7.6,
,oct,7.62,
,nov,7.6,
,dic,7.61,
2007,ene,7.67,
,feb,7.7,
,mar,7.69,
,abr,7.67,
,may,7.64,
,jun,7.68,
,jul,7.68,
,ago,7.66,
,sep,7.7,
,oct,7.73,
,nov,7.64,
,dic,7.63,
2008,ene,7.7,
,feb,7.73,
,mar,7.65,
,abr,7.55,
,may,7.44,
,jun,7.49,
,jul,7.45,
,ago,7.41,
,sep,7.47,
,oct,7.53,
,nov,7.63,
,dic,7.71,
2009,ene,7.85,
,feb,7.94,
,mar,8.07,
,abr,8.09,
,may,8.1,
,jun,8.13,
,jul,8.17,
,ago,8.26,
,sep,8.31,
,oct,8.35,
,nov,8.3,
,dic,8.32,
2010,ene,8.37,
,feb,8.16,
,mar,8.03,
,abr,8,
,may,8,
,jun,8.01,
,jul,8.01,
,ago,8.02,
,sep,8.07,
,oct,8.07,
,nov,8.01,
,dic,7.98,
2011,ene,7.97,
,feb,7.81,
,mar,7.71,
,abr,7.62,
,may,7.65,
,jun,7.8,
,jul,7.76,
,ago,7.83,
,sep,7.85,
,oct,7.85,
,nov,7.81,
,dic,7.81,
2012,ene,7.81,
,feb,7.78,
,mar,7.73,
,abr,7.74,
,may,7.78,
,jun,7.85,
,jul,7.83,
,ago,7.87,
,sep,7.97,
,oct,7.88,
,nov,7.86,
,dic,7.89,
2013,ene,7.89,
,feb,7.83,
,mar,7.81,
,abr,7.8,
,may,7.79,
,jun,7.82,
,jul,7.82,
,ago,7.89,
,sep,7.94,
,oct,7.96,
,nov,7.9,
,dic,7.86,
2014,ene,7.85,
,feb,7.76,
,mar,7.73,
,abr,7.75,
,may,7.73,
,jun,7.81,
,jul,7.77,
,ago,7.81,
,sep,7.72,
,oct,7.65,
,nov,7.62,
,dic,7.62,
2015,ene,7.64,
,feb,7.65,
,mar,7.63,
,abr,7.69,
,may,7.69,
,jun,7.65,
,jul,7.65,
,ago,7.65,
,sep,7.69,
,oct,7.68,
,nov,7.65,
,dic,7.61,
2016,ene,7.65,
,feb,7.66,
,mar,7.72,
,abr,7.73,
,may,7.66,
,jun,7.64,
,jul,7.6,
,ago,7.53,
,sep,7.53,
,oct,7.5,
,nov,7.5,
,dic,7.5,
2017,ene,7.52,
,feb,7.41,
,mar,7.36,
,abr,7.34,
,may,7.34,
,jun,7.34,
,jul,7.31,
,ago,7.28,
,sep,7.3,
,oct,7.34,
,nov,7.33,
,dic,7.34,
2018,ene,7.34,
,feb,7.36,
,mar,7.39,
,abr,7.4,
,may,7.44,
,jun,7.49,
,jul,7.48,
,ago,7.5,
,sep,7.65,
,oct,7.72,
,nov,7.7,
,dic,7.73,
2019,ene,7.73,
,feb,7.74,
,mar,7.69,
,abr,7.64,
,may,7.67,
,jun,7.7,
,jul,7.68,
,ago,7.67,
,sep,7.71,
,oct,7.76,
,nov,7.7,
,dic,7.69,
2020,ene,7.7,
,feb,7.65,
,mar,7.69,
,abr,7.71,
,may,7.7,
,jun,7.7,
,jul,7.7,
,ago,7.71,
,sep,7.76,
,oct,7.78,
,nov,7.79,
,dic,7.8,
2021,ene,7.79,
,feb,7.75,
,mar,7.72,
,abr,7.72,
,may,7.71,
,jun,7.74,
,jul,7.75,
,ago,7.74,
,sep,7.73,
,oct,7.73,
,nov,7.73,
,dic,7.73,
2022,ene,7.7,
,feb,7.7,
,mar,7.69,
,abr,7.66,
,may,7.67,
,jun,7.74,
